#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,Snapshot_1.ngb-dd9            
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,C4                            
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH DSC 404F3             
#PROJECT:                    ,NRL-Ti                        
#DATE/TIME:                  ,6/22/2020 11:58:27 AM (UTC-4) 
#CORR. FILE:                 ,Correction-PtRh+Y2O3-2.ngb-bd9
#TEMPCAL:                    ,TCALZERO.TMX                  
#SENSITIVITY:                ,SENSZERO.EXX                  
#LABORATORY:                 ,Short Lab                     
#OPERATOR:                   ,CH                            
#REMARK:                     ,                              
#SAMPLE:                     ,PtRh+Y2O3                     
#SAMPLE MASS /mg:            ,61.8                          
#MATERIAL:                   ,NA                            
#REFERENCE:                  ,PtRh+Y2O3                     
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh              
#SAMPLE CRUCIBLE MASS /mg:   ,427.0                         
#REFERENCE CRUCIBLE MASS /mg:,440.0                         
#PROTECTIVE GAS:             ,ARGON                         
#FLOW RATE /(ml/min):        ,50                            
#PURGE GAS 1:                ,<no gas>                      
#FLOW RATE 1:                ,                              
#PURGE GAS 2:                ,ARGON                         
#FLOW RATE 2 /(ml/min):      ,50                            
#M.RANGE /µV:                ,5000                          
#TAU-R:                      ,---                           
#CORR. CODE:                 ,020                           
#EXO:                        ,+1                            
#RANGE:                      ,20°C/50.0(K/min)/600°C        
#SEGMENT:                    ,S10/21                        
#SEG. 10:                    ,20°C/50.0(K/min)/600°C        

##Temp./°C,Time/min,DSC/(uV/mg),Sensit./(uV/mW)
 38.76600,211.32833, 5.965250e-002,1.00000
 38.76300,211.33167, 5.964015e-002,1.00000
 38.75900,211.33500, 5.962781e-002,1.00000
 38.75400,211.33833, 5.959077e-002,1.00000
 38.74900,211.34167, 5.950435e-002,1.00000
 38.74700,211.34500, 5.945497e-002,1.00000
 38.74100,211.34833, 5.941794e-002,1.00000
 38.73900,211.35167, 5.939325e-002,1.00000
 38.73300,211.35500, 5.939325e-002,1.00000
 38.73000,211.35833, 5.939325e-002,1.00000
 38.72700,211.36167, 5.939325e-002,1.00000
 38.72400,211.36500, 5.940559e-002,1.00000
 38.71600,211.36833, 5.939325e-002,1.00000
 38.71400,211.37167, 5.938090e-002,1.00000
 38.71000,211.37500, 5.935621e-002,1.00000
 38.70500,211.37833, 5.935621e-002,1.00000
 38.70000,211.38167, 5.933152e-002,1.00000
 38.69600,211.38500, 5.930683e-002,1.00000
 38.69200,211.38833, 5.929448e-002,1.00000
 38.69000,211.39167, 5.928214e-002,1.00000
 38.68300,211.39500, 5.926979e-002,1.00000
 38.68100,211.39833, 5.926979e-002,1.00000
 38.67600,211.40167, 5.924510e-002,1.00000
 38.67500,211.40500, 5.928214e-002,1.00000
 38.66700,211.40833, 5.926979e-002,1.00000
 38.66500,211.41167, 5.923276e-002,1.00000
 38.66100,211.41500, 5.919572e-002,1.00000
 38.65900,211.41833, 5.919572e-002,1.00000
 38.65200,211.42167, 5.919572e-002,1.00000
 38.64900,211.42500, 5.918338e-002,1.00000
 38.64400,211.42833, 5.919572e-002,1.00000
 38.64200,211.43167, 5.922041e-002,1.00000
 38.63800,211.43500, 5.920807e-002,1.00000
 38.63300,211.43833, 5.915869e-002,1.00000
 38.63000,211.44167, 5.912165e-002,1.00000
 38.62300,211.44500, 5.913400e-002,1.00000
 38.62200,211.44833, 5.914634e-002,1.00000
 38.61700,211.45167, 5.913400e-002,1.00000
 38.61300,211.45500, 5.918338e-002,1.00000
 38.60800,211.45833, 5.908461e-002,1.00000
 38.60600,211.46167, 5.901054e-002,1.00000
 38.60100,211.46500, 5.898585e-002,1.00000
 38.59600,211.46833, 5.904758e-002,1.00000
 38.59300,211.47167, 5.912165e-002,1.00000
 38.59100,211.47500, 5.912165e-002,1.00000
 38.58400,211.47833, 5.902289e-002,1.00000
 38.58300,211.48167, 5.894882e-002,1.00000
 38.57800,211.48500, 5.891178e-002,1.00000
 38.57400,211.48833, 5.894882e-002,1.00000
 38.57400,211.49167, 5.894882e-002,1.00000
 38.56700,211.49500, 5.894882e-002,1.00000
 38.56700,211.49833, 5.892413e-002,1.00000
 38.56300,211.50167, 5.882536e-002,1.00000
 38.56000,211.50500, 5.876364e-002,1.00000
 38.55400,211.50833, 5.878833e-002,1.00000
 38.55000,211.51167, 5.878833e-002,1.00000
 38.54800,211.51500, 5.880067e-002,1.00000
 38.54300,211.51833, 5.881302e-002,1.00000
 38.53900,211.52167, 5.881302e-002,1.00000
 38.53600,211.52500, 5.877598e-002,1.00000
 38.53600,211.52833, 5.877598e-002,1.00000
 38.53000,211.53167, 5.881302e-002,1.00000
 38.52800,211.53500, 5.876364e-002,1.00000
 38.52600,211.53833, 5.875129e-002,1.00000
 38.52100,211.54167, 5.876364e-002,1.00000
 38.51800,211.54500, 5.872660e-002,1.00000
 38.51500,211.54833, 5.871426e-002,1.00000
 38.51400,211.55167, 5.861549e-002,1.00000
 38.51200,211.55500, 5.851673e-002,1.00000
 38.50900,211.55833, 5.847969e-002,1.00000
 38.50300,211.56167, 5.843031e-002,1.00000
 38.50300,211.56500, 5.843031e-002,1.00000
 38.49800,211.56833, 5.847969e-002,1.00000
 38.49400,211.57167, 5.852908e-002,1.00000
 38.48900,211.57500, 5.851673e-002,1.00000
 38.48800,211.57833, 5.845500e-002,1.00000
 38.48700,211.58167, 5.833155e-002,1.00000
 38.48400,211.58500, 5.829452e-002,1.00000
 38.48200,211.58833, 5.824514e-002,1.00000
 38.47800,211.59167, 5.818341e-002,1.00000
 38.47800,211.59500, 5.820810e-002,1.00000
 38.47300,211.59833, 5.819576e-002,1.00000
 38.47100,211.60167, 5.818341e-002,1.00000
 38.47000,211.60500, 5.815872e-002,1.00000
 38.46700,211.60833, 5.812169e-002,1.00000
 38.46200,211.61167, 5.807230e-002,1.00000
 38.46200,211.61500, 5.803527e-002,1.00000
 38.46200,211.61833, 5.794885e-002,1.00000
 38.45900,211.62167, 5.794885e-002,1.00000
 38.45800,211.62500, 5.791181e-002,1.00000
 38.45700,211.62833, 5.781305e-002,1.00000
 38.45200,211.63167, 5.768960e-002,1.00000
 38.45300,211.63500, 5.761553e-002,1.00000
 38.44700,211.63833, 5.755380e-002,1.00000
 38.44400,211.64167, 5.752911e-002,1.00000
 38.44400,211.64500, 5.750442e-002,1.00000
 38.44100,211.64833, 5.747973e-002,1.00000
 38.44000,211.65167, 5.745504e-002,1.00000
 38.43800,211.65500, 5.734393e-002,1.00000
 38.43800,211.65833, 5.726986e-002,1.00000
 38.43800,211.66167, 5.720813e-002,1.00000
 38.43300,211.66500, 5.713406e-002,1.00000
 38.43400,211.66833, 5.701061e-002,1.00000
 38.43000,211.67167, 5.689950e-002,1.00000
 38.43000,211.67500, 5.677605e-002,1.00000
 38.42700,211.67833, 5.673901e-002,1.00000
 38.43100,211.68167, 5.673901e-002,1.00000
 38.42700,211.68500, 5.668963e-002,1.00000
 38.42600,211.68833, 5.668963e-002,1.00000
 38.42700,211.69167, 5.661556e-002,1.00000
 38.42300,211.69500, 5.655383e-002,1.00000
 38.42600,211.69833, 5.649210e-002,1.00000
 38.42400,211.70167, 5.639334e-002,1.00000
 38.42600,211.70500, 5.630692e-002,1.00000
 38.42200,211.70833, 5.618347e-002,1.00000
 38.42300,211.71167, 5.601063e-002,1.00000
 38.42200,211.71500, 5.582546e-002,1.00000
 38.41900,211.71833, 5.568966e-002,1.00000
 38.42400,211.72167, 5.557855e-002,1.00000
 38.42100,211.72500, 5.554151e-002,1.00000
 38.42100,211.72833, 5.545510e-002,1.00000
 38.42100,211.73167, 5.535633e-002,1.00000
 38.42200,211.73500, 5.529461e-002,1.00000
 38.42000,211.73833, 5.520819e-002,1.00000
 38.42100,211.74167, 5.512177e-002,1.00000
 38.42500,211.74500, 5.501067e-002,1.00000
 38.42200,211.74833, 5.492425e-002,1.00000
 38.42300,211.75167, 5.482549e-002,1.00000
 38.42400,211.75500, 5.470204e-002,1.00000
 38.42500,211.75833, 5.454155e-002,1.00000
 38.42500,211.76167, 5.439340e-002,1.00000
 38.42500,211.76500, 5.425760e-002,1.00000
 38.42600,211.76833, 5.414650e-002,1.00000
 38.42700,211.77167, 5.399835e-002,1.00000
 38.42700,211.77500, 5.383787e-002,1.00000
 38.43100,211.77833, 5.365269e-002,1.00000
 38.43100,211.78167, 5.341813e-002,1.00000
 38.43100,211.78500, 5.328233e-002,1.00000
 38.43100,211.78833, 5.315888e-002,1.00000
 38.43300,211.79167, 5.308480e-002,1.00000
 38.43500,211.79500, 5.289962e-002,1.00000
 38.43500,211.79833, 5.268975e-002,1.00000
 38.43800,211.80167, 5.252926e-002,1.00000
 38.44000,211.80500, 5.243050e-002,1.00000
 38.44100,211.80833, 5.227001e-002,1.00000
 38.44300,211.81167, 5.214656e-002,1.00000
 38.44500,211.81500, 5.199841e-002,1.00000
 38.44800,211.81833, 5.183792e-002,1.00000
 38.44800,211.82167, 5.157867e-002,1.00000
 38.45000,211.82500, 5.125769e-002,1.00000
 38.45500,211.82833, 5.099844e-002,1.00000
 38.45600,211.83167, 5.070216e-002,1.00000
 38.45900,211.83500, 5.044291e-002,1.00000
 38.46200,211.83833, 5.022069e-002,1.00000
 38.46400,211.84167, 5.009724e-002,1.00000
 38.46700,211.84500, 5.002317e-002,1.00000
 38.46900,211.84833, 4.988737e-002,1.00000
 38.47400,211.85167, 4.971453e-002,1.00000
 38.47700,211.85500, 4.945528e-002,1.00000
 38.48000,211.85833, 4.917134e-002,1.00000
 38.48200,211.86167, 4.889974e-002,1.00000
 38.48500,211.86500, 4.867753e-002,1.00000
 38.49000,211.86833, 4.843062e-002,1.00000
 38.49400,211.87167, 4.823310e-002,1.00000
 38.49700,211.87500, 4.796150e-002,1.00000
 38.50000,211.87833, 4.773928e-002,1.00000
 38.50400,211.88167, 4.755411e-002,1.00000
 38.51000,211.88500, 4.734424e-002,1.00000
 38.51400,211.88833, 4.708498e-002,1.00000
 38.51900,211.89167, 4.682573e-002,1.00000
 38.52100,211.89500, 4.652945e-002,1.00000
 38.52800,211.89833, 4.625785e-002,1.00000
 38.53000,211.90167, 4.603563e-002,1.00000
 38.53400,211.90500, 4.583811e-002,1.00000
 38.54000,211.90833, 4.556651e-002,1.00000
 38.54600,211.91167, 4.527023e-002,1.00000
 38.55100,211.91500, 4.502332e-002,1.00000
 38.55500,211.91833, 4.476407e-002,1.00000
 38.56200,211.92167, 4.450482e-002,1.00000
 38.56600,211.92500, 4.415915e-002,1.00000
 38.57100,211.92833, 4.385051e-002,1.00000
 38.57500,211.93167, 4.361595e-002,1.00000
 38.58400,211.93500, 4.336905e-002,1.00000
 38.58900,211.93833, 4.310979e-002,1.00000
 38.59600,211.94167, 4.281351e-002,1.00000
 38.59900,211.94500, 4.246784e-002,1.00000
 38.60700,211.94833, 4.210983e-002,1.00000
 38.61200,211.95167, 4.176416e-002,1.00000
 38.62000,211.95500, 4.139380e-002,1.00000
 38.62800,211.95833, 4.107282e-002,1.00000
 38.63500,211.96167, 4.073950e-002,1.00000
 38.63900,211.96500, 4.040617e-002,1.00000
 38.64600,211.96833, 4.010989e-002,1.00000
 38.65400,211.97167, 3.980125e-002,1.00000
 38.66100,211.97500, 3.943090e-002,1.00000
 38.66900,211.97833, 3.913461e-002,1.00000
 38.67900,211.98167, 3.888770e-002,1.00000
 38.68300,211.98500, 3.848031e-002,1.00000
 38.69100,211.98833, 3.813464e-002,1.00000
 38.70000,211.99167, 3.780132e-002,1.00000
 38.70800,211.99500, 3.734454e-002,1.00000
 38.71500,211.99833, 3.691245e-002,1.00000
 38.72400,212.00167, 3.645568e-002,1.00000
 38.73200,212.00500, 3.606063e-002,1.00000
 38.74100,212.00833, 3.567792e-002,1.00000
 38.74800,212.01167, 3.528287e-002,1.00000
 38.75600,212.01500, 3.482610e-002,1.00000
 38.76700,212.01833, 3.444339e-002,1.00000
 38.77400,212.02167, 3.409772e-002,1.00000
 38.78300,212.02500, 3.376440e-002,1.00000
 38.79100,212.02833, 3.341873e-002,1.00000
 38.79800,212.03167, 3.306073e-002,1.00000
 38.81100,212.03500, 3.264098e-002,1.00000
 38.82100,212.03833, 3.220890e-002,1.00000
 38.82600,212.04167, 3.175212e-002,1.00000
 38.84100,212.04500, 3.124596e-002,1.00000
 38.85100,212.04833, 3.075215e-002,1.00000
 38.85900,212.05167, 3.034475e-002,1.00000
 38.87000,212.05500, 2.990032e-002,1.00000
 38.87900,212.05833, 2.940651e-002,1.00000
 38.88900,212.06167, 2.888801e-002,1.00000
 38.90100,212.06500, 2.840654e-002,1.00000
 38.91000,212.06833, 2.801149e-002,1.00000
 38.92200,212.07167, 2.756707e-002,1.00000
 38.93200,212.07500, 2.707325e-002,1.00000
 38.94500,212.07833, 2.667820e-002,1.00000
 38.95500,212.08167, 2.620908e-002,1.00000
 38.96800,212.08500, 2.566588e-002,1.00000
 38.97700,212.08833, 2.512269e-002,1.00000
 38.99200,212.09167, 2.467826e-002,1.00000
 39.00100,212.09500, 2.419680e-002,1.00000
 39.01500,212.09833, 2.371533e-002,1.00000
 39.02800,212.10167, 2.318449e-002,1.00000
 39.04100,212.10500, 2.262894e-002,1.00000
 39.05100,212.10833, 2.213513e-002,1.00000
 39.06000,212.11167, 2.157959e-002,1.00000
 39.07300,212.11500, 2.104874e-002,1.00000
 39.08800,212.11833, 2.051789e-002,1.00000
 39.10100,212.12167, 1.996236e-002,1.00000
 39.11600,212.12500, 1.941915e-002,1.00000
 39.12700,212.12833, 1.880189e-002,1.00000
 39.14100,212.13167, 1.822166e-002,1.00000
 39.15300,212.13500, 1.772785e-002,1.00000
 39.16600,212.13833, 1.717231e-002,1.00000
 39.18300,212.14167, 1.661677e-002,1.00000
 39.19500,212.14500, 1.604889e-002,1.00000
 39.20900,212.14833, 1.550570e-002,1.00000
 39.22400,212.15167, 1.488843e-002,1.00000
 39.23900,212.15500, 1.422178e-002,1.00000
 39.25200,212.15833, 1.364155e-002,1.00000
 39.26800,212.16167, 1.308603e-002,1.00000
 39.28000,212.16500, 1.250580e-002,1.00000
 39.29800,212.16833, 1.186385e-002,1.00000
 39.31100,212.17167, 1.124658e-002,1.00000
 39.32600,212.17500, 1.061696e-002,1.00000
 39.34200,212.17833, 1.001204e-002,1.00000
 39.35800,212.18167, 9.444153e-003,1.00000
 39.37300,212.18500, 8.814543e-003,1.00000
 39.38900,212.18833, 8.172588e-003,1.00000
 39.40400,212.19167, 7.518287e-003,1.00000
 39.42100,212.19500, 6.913367e-003,1.00000
 39.43800,212.19833, 6.320793e-003,1.00000
 39.45300,212.20167, 5.728219e-003,1.00000
 39.47100,212.20500, 5.086263e-003,1.00000
 39.48700,212.20833, 4.357890e-003,1.00000
 39.50500,212.21167, 3.654208e-003,1.00000
 39.52100,212.21500, 2.975217e-003,1.00000
 39.53700,212.21833, 2.271535e-003,1.00000
 39.55400,212.22167, 1.678976e-003,1.00000
 39.57400,212.22500, 1.037005e-003,1.00000
 39.59200,212.22833, 3.209778e-004,1.00000
 39.60600,212.23167,-4.197402e-004,1.00000
 39.62600,212.23500,-1.148113e-003,1.00000
 39.64400,212.23833,-1.851795e-003,1.00000
 39.66100,212.24167,-2.530786e-003,1.00000
 39.67900,212.24500,-3.234468e-003,1.00000
 39.69900,212.24833,-4.012222e-003,1.00000
 39.71500,212.25167,-4.715919e-003,1.00000
 39.73500,212.25500,-5.468983e-003,1.00000
 39.75300,212.25833,-6.160304e-003,1.00000
 39.77500,212.26167,-6.826950e-003,1.00000
 39.79200,212.26500,-7.530632e-003,1.00000
 39.81300,212.26833,-8.259005e-003,1.00000
 39.82900,212.27167,-9.073794e-003,1.00000
 39.84900,212.27500,-9.814512e-003,1.00000
 39.87000,212.27833,-1.059227e-002,1.00000
 39.88900,212.28167,-1.139471e-002,1.00000
 39.91200,212.28500,-1.222185e-002,1.00000
 39.92700,212.28833,-1.299960e-002,1.00000
 39.95000,212.29167,-1.383908e-002,1.00000
 39.96800,212.29500,-1.466621e-002,1.00000
 39.99300,212.29833,-1.546866e-002,1.00000
 40.01400,212.30167,-1.622172e-002,1.00000
 40.03400,212.30500,-1.701182e-002,1.00000
 40.05300,212.30833,-1.777723e-002,1.00000
 40.07700,212.31167,-1.860436e-002,1.00000
 40.09400,212.31500,-1.941915e-002,1.00000
 40.11800,212.31833,-2.022160e-002,1.00000
 40.13900,212.32167,-2.103639e-002,1.00000
 40.15900,212.32500,-2.183883e-002,1.00000
 40.18200,212.32833,-2.265362e-002,1.00000
 40.20400,212.33167,-2.355486e-002,1.00000
 40.22700,212.33500,-2.445607e-002,1.00000
 40.25000,212.33833,-2.532024e-002,1.00000
 40.27200,212.34167,-2.620910e-002,1.00000
 40.29600,212.34500,-2.711031e-002,1.00000
 40.31700,212.34833,-2.797448e-002,1.00000
 40.34200,212.35167,-2.871520e-002,1.00000
 40.36400,212.35500,-2.952995e-002,1.00000
 40.38600,212.35833,-3.044351e-002,1.00000
 40.40900,212.36167,-3.134471e-002,1.00000
 40.43600,212.36500,-3.224592e-002,1.00000
 40.46100,212.36833,-3.315947e-002,1.00000
 40.48100,212.37167,-3.408537e-002,1.00000
 40.50500,212.37500,-3.501127e-002,1.00000
 40.52900,212.37833,-3.602358e-002,1.00000
 40.55600,212.38167,-3.699886e-002,1.00000
 40.57700,212.38500,-3.797414e-002,1.00000
 40.60200,212.38833,-3.893707e-002,1.00000
 40.62700,212.39167,-3.990001e-002,1.00000
 40.65300,212.39500,-4.078887e-002,1.00000
 40.67700,212.39833,-4.167773e-002,1.00000
 40.70100,212.40167,-4.264066e-002,1.00000
 40.72700,212.40500,-4.359125e-002,1.00000
 40.75200,212.40833,-4.455421e-002,1.00000
 40.77800,212.41167,-4.551715e-002,1.00000
 40.80500,212.41500,-4.644304e-002,1.00000
 40.83200,212.41833,-4.736894e-002,1.00000
 40.85700,212.42167,-4.831953e-002,1.00000
 40.88200,212.42500,-4.928246e-002,1.00000
 40.91200,212.42833,-5.034416e-002,1.00000
 40.93700,212.43167,-5.135647e-002,1.00000
 40.96200,212.43500,-5.236879e-002,1.00000
 40.98700,212.43833,-5.339345e-002,1.00000
 41.01500,212.44167,-5.439342e-002,1.00000
 41.04000,212.44500,-5.538104e-002,1.00000
 41.07000,212.44833,-5.631925e-002,1.00000
 41.09700,212.45167,-5.735629e-002,1.00000
 41.12500,212.45500,-5.839329e-002,1.00000
 41.15100,212.45833,-5.935623e-002,1.00000
 41.18000,212.46167,-6.036854e-002,1.00000
 41.20800,212.46500,-6.140555e-002,1.00000
 41.23500,212.46833,-6.245490e-002,1.00000
 41.26400,212.47167,-6.349190e-002,1.00000
 41.29100,212.47500,-6.452891e-002,1.00000
 41.31900,212.47833,-6.556591e-002,1.00000
 41.34700,212.48167,-6.660292e-002,1.00000
 41.37800,212.48500,-6.767696e-002,1.00000
 41.40500,212.48833,-6.878803e-002,1.00000
 41.43400,212.49167,-6.984973e-002,1.00000
 41.46400,212.49500,-7.091143e-002,1.00000
 41.49200,212.49833,-7.194843e-002,1.00000
 41.52300,212.50167,-7.298541e-002,1.00000
 41.55100,212.50500,-7.393599e-002,1.00000
 41.58100,212.50833,-7.497300e-002,1.00000
 41.61100,212.51167,-7.608408e-002,1.00000
 41.64000,212.51500,-7.723219e-002,1.00000
 41.67300,212.51833,-7.836796e-002,1.00000
 41.70100,212.52167,-7.950372e-002,1.00000
 41.73300,212.52500,-8.065184e-002,1.00000
 41.76200,212.52833,-8.179995e-002,1.00000
 41.79200,212.53167,-8.298510e-002,1.00000
 41.82400,212.53500,-8.414556e-002,1.00000
 41.85600,212.53833,-8.526898e-002,1.00000
 41.88700,212.54167,-8.639240e-002,1.00000
 41.91900,212.54500,-8.750348e-002,1.00000
 41.95100,212.54833,-8.870097e-002,1.00000
 41.98000,212.55167,-8.984908e-002,1.00000
 42.01400,212.55500,-9.099720e-002,1.00000
 42.04400,212.55833,-9.217000e-002,1.00000
 42.07600,212.56167,-9.333046e-002,1.00000
 42.10900,212.56500,-9.451561e-002,1.00000
 42.14000,212.56833,-9.563903e-002,1.00000
 42.16900,212.57167,-9.670072e-002,1.00000
 42.20600,212.57500,-9.776242e-002,1.00000
 42.24000,212.57833,-9.882418e-002,1.00000
 42.27200,212.58167,-9.991056e-002,1.00000
 42.30400,212.58500,      -0.10103,1.00000
 42.33700,212.58833,      -0.10223,1.00000
 42.36800,212.59167,      -0.10340,1.00000
 42.40200,212.59500,      -0.10465,1.00000
 42.43700,212.59833,      -0.10585,1.00000
 42.46800,212.60167,      -0.10702,1.00000
 42.50300,212.60500,      -0.10824,1.00000
 42.53600,212.60833,      -0.10944,1.00000
 42.57200,212.61167,      -0.11061,1.00000
 42.60400,212.61500,      -0.11184,1.00000
 42.63900,212.61833,      -0.11307,1.00000
 42.67300,212.62167,      -0.11439,1.00000
 42.70800,212.62500,      -0.11568,1.00000
 42.74200,212.62833,      -0.11692,1.00000
 42.77600,212.63167,      -0.11818,1.00000
 42.81100,212.63500,      -0.11934,1.00000
 42.84700,212.63833,      -0.12055,1.00000
 42.88200,212.64167,      -0.12179,1.00000
 42.91800,212.64500,      -0.12302,1.00000
 42.95100,212.64833,      -0.12422,1.00000
 42.98600,212.65167,      -0.12547,1.00000
 43.02400,212.65500,      -0.12672,1.00000
 43.05700,212.65833,      -0.12806,1.00000
 43.09500,212.66167,      -0.12935,1.00000
 43.13100,212.66500,      -0.13059,1.00000
 43.16700,212.66833,      -0.13185,1.00000
 43.20500,212.67167,      -0.13312,1.00000
 43.24000,212.67500,      -0.13438,1.00000
 43.27700,212.67833,      -0.13571,1.00000
 43.31200,212.68167,      -0.13708,1.00000
 43.34900,212.68500,      -0.13842,1.00000
 43.38600,212.68833,      -0.13972,1.00000
 43.42300,212.69167,      -0.14101,1.00000
 43.46000,212.69500,      -0.14222,1.00000
 43.49800,212.69833,      -0.14346,1.00000
 43.53600,212.70167,      -0.14470,1.00000
 43.57300,212.70500,      -0.14592,1.00000
 43.61300,212.70833,      -0.14722,1.00000
 43.64800,212.71167,      -0.14851,1.00000
 43.68700,212.71500,      -0.14985,1.00000
 43.72200,212.71833,      -0.15114,1.00000
 43.76200,212.72167,      -0.15243,1.00000
 43.80100,212.72500,      -0.15376,1.00000
 43.83800,212.72833,      -0.15511,1.00000
 43.87900,212.73167,      -0.15643,1.00000
 43.91400,212.73500,      -0.15781,1.00000
 43.95600,212.73833,      -0.15916,1.00000
 43.99200,212.74167,      -0.16050,1.00000
 44.03200,212.74500,      -0.16183,1.00000
 44.07000,212.74833,      -0.16332,1.00000
 44.11000,212.75167,      -0.16475,1.00000
 44.15100,212.75500,      -0.16604,1.00000
 44.18800,212.75833,      -0.16733,1.00000
 44.22900,212.76167,      -0.16865,1.00000
 44.26400,212.76500,      -0.16997,1.00000
 44.30700,212.76833,      -0.17130,1.00000
 44.34900,212.77167,      -0.17266,1.00000
 44.38800,212.77500,      -0.17397,1.00000
 44.42900,212.77833,      -0.17529,1.00000
 44.46500,212.78167,      -0.17665,1.00000
 44.50900,212.78500,      -0.17799,1.00000
 44.55000,212.78833,      -0.17936,1.00000
 44.58800,212.79167,      -0.18072,1.00000
 44.63100,212.79500,      -0.18211,1.00000
 44.67200,212.79833,      -0.18350,1.00000
 44.71400,212.80167,      -0.18490,1.00000
 44.75300,212.80500,      -0.18632,1.00000
 44.79600,212.80833,      -0.18771,1.00000
 44.83500,212.81167,      -0.18909,1.00000
 44.88000,212.81500,      -0.19046,1.00000
 44.91900,212.81833,      -0.19177,1.00000
 44.96000,212.82167,      -0.19313,1.00000
 45.00100,212.82500,      -0.19448,1.00000
 45.04400,212.82833,      -0.19586,1.00000
 45.08700,212.83167,      -0.19727,1.00000
 45.12700,212.83500,      -0.19870,1.00000
 45.17200,212.83833,      -0.20012,1.00000
 45.21400,212.84167,      -0.20155,1.00000
 45.25700,212.84500,      -0.20307,1.00000
 45.29900,212.84833,      -0.20455,1.00000
 45.34200,212.85167,      -0.20594,1.00000
 45.38100,212.85500,      -0.20729,1.00000
 45.42500,212.85833,      -0.20866,1.00000
 45.47000,212.86167,      -0.21006,1.00000
 45.51600,212.86500,      -0.21146,1.00000
 45.55600,212.86833,      -0.21289,1.00000
 45.60100,212.87167,      -0.21436,1.00000
 45.64300,212.87500,      -0.21586,1.00000
 45.68800,212.87833,      -0.21730,1.00000
 45.73200,212.88167,      -0.21867,1.00000
 45.77700,212.88500,      -0.22007,1.00000
 45.82000,212.88833,      -0.22146,1.00000
 45.86200,212.89167,      -0.22287,1.00000
 45.91000,212.89500,      -0.22430,1.00000
 45.95200,212.89833,      -0.22581,1.00000
 45.99700,212.90167,      -0.22729,1.00000
 46.04200,212.90500,      -0.22876,1.00000
 46.08600,212.90833,      -0.23023,1.00000
 46.13000,212.91167,      -0.23162,1.00000
 46.17600,212.91500,      -0.23301,1.00000
 46.22200,212.91833,      -0.23445,1.00000
 46.26800,212.92167,      -0.23591,1.00000
 46.31300,212.92500,      -0.23742,1.00000
 46.35700,212.92833,      -0.23894,1.00000
 46.40100,212.93167,      -0.24042,1.00000
 46.44800,212.93500,      -0.24187,1.00000
 46.49500,212.93833,      -0.24329,1.00000
 46.53900,212.94167,      -0.24473,1.00000
 46.58600,212.94500,      -0.24619,1.00000
 46.63200,212.94833,      -0.24763,1.00000
 46.67700,212.95167,      -0.24913,1.00000
 46.72500,212.95500,      -0.25062,1.00000
 46.77000,212.95833,      -0.25209,1.00000
 46.81300,212.96167,      -0.25354,1.00000
 46.86300,212.96500,      -0.25499,1.00000
 46.91100,212.96833,      -0.25644,1.00000
 46.95600,212.97167,      -0.25786,1.00000
 47.00600,212.97500,      -0.25929,1.00000
 47.05100,212.97833,      -0.26073,1.00000
 47.09900,212.98167,      -0.26220,1.00000
 47.14500,212.98500,      -0.26367,1.00000
 47.19300,212.98833,      -0.26519,1.00000
 47.23800,212.99167,      -0.26670,1.00000
 47.29000,212.99500,      -0.26816,1.00000
 47.33700,212.99833,      -0.26966,1.00000
 47.38500,213.00167,      -0.27109,1.00000
 47.43200,213.00500,      -0.27257,1.00000
 47.47900,213.00833,      -0.27404,1.00000
 47.52800,213.01167,      -0.27553,1.00000
 47.57700,213.01500,      -0.27702,1.00000
 47.62500,213.01833,      -0.27849,1.00000
 47.67600,213.02167,      -0.27998,1.00000
 47.72300,213.02500,      -0.28149,1.00000
 47.77200,213.02833,      -0.28298,1.00000
 47.82200,213.03167,      -0.28446,1.00000
 47.86900,213.03500,      -0.28590,1.00000
 47.91800,213.03833,      -0.28736,1.00000
 47.96500,213.04167,      -0.28886,1.00000
 48.01700,213.04500,      -0.29037,1.00000
 48.06800,213.04833,      -0.29189,1.00000
 48.11700,213.05167,      -0.29344,1.00000
 48.16400,213.05500,      -0.29493,1.00000
 48.21600,213.05833,      -0.29642,1.00000
 48.26600,213.06167,      -0.29792,1.00000
 48.31800,213.06500,      -0.29941,1.00000
 48.36800,213.06833,      -0.30092,1.00000
 48.41600,213.07167,      -0.30242,1.00000
 48.46800,213.07500,      -0.30393,1.00000
 48.51900,213.07833,      -0.30545,1.00000
 48.57000,213.08167,      -0.30698,1.00000
 48.61600,213.08500,      -0.30853,1.00000
 48.66800,213.08833,      -0.31003,1.00000
 48.72200,213.09167,      -0.31153,1.00000
 48.77100,213.09500,      -0.31303,1.00000
 48.82400,213.09833,      -0.31455,1.00000
 48.87300,213.10167,      -0.31604,1.00000
 48.92600,213.10500,      -0.31753,1.00000
 48.97600,213.10833,      -0.31908,1.00000
 49.02900,213.11167,      -0.32058,1.00000
